#Sample Density: 11 11 11; Volume: Box: 0.5 0.5 0.5
#Frame 0
#Center: 44.02899932861328 30.897499084472656 41.738502502441406
#Basis Matrix:
# 0.9083700776100159 -0.37812313437461853 -0.1785682886838913
# -0.4135841727256775 -0.7493338584899902 -0.517152726650238
# 0.06174015253782272 0.5436190962791443 -0.8370581865310669
-0.500 -0.500 -0.500 -0.677 -0.229 -0.429
-0.500 -0.500 -0.400 -0.728 -0.201 -0.424
-0.500 -0.500 -0.300 -0.778 -0.172 -0.408
-0.500 -0.500 -0.200 -0.827 -0.143 -0.381
-0.500 -0.500 -0.100 -0.873 -0.114 -0.341
-0.500 -0.500 0.000 -0.914 -0.086 -0.288
-0.500 -0.500 0.100 -0.950 -0.062 -0.222
-0.500 -0.500 0.200 -0.978 -0.043 -0.143
-0.500 -0.500 0.300 -0.996 -0.030 -0.051
-0.500 -0.500 0.400 -1.004 -0.024 0.053
-0.500 -0.500 0.500 -1.000 -0.028 0.167
-0.500 -0.400 -0.500 -0.672 -0.186 -0.404
-0.500 -0.400 -0.400 -0.720 -0.163 -0.398
-0.500 -0.400 -0.300 -0.766 -0.138 -0.381
-0.500 -0.400 -0.200 -0.810 -0.113 -0.354
-0.500 -0.400 -0.100 -0.852 -0.088 -0.315
-0.500 -0.400 0.000 -0.889 -0.066 -0.265
-0.500 -0.400 0.100 -0.920 -0.047 -0.202
-0.500 -0.400 0.200 -0.945 -0.032 -0.128
-0.500 -0.400 0.300 -0.962 -0.023 -0.043
-0.500 -0.400 0.400 -0.969 -0.021 0.052
-0.500 -0.400 0.500 -0.965 -0.028 0.156
-0.500 -0.300 -0.500 -0.665 -0.150 -0.384
-0.500 -0.300 -0.400 -0.708 -0.130 -0.375
-0.500 -0.300 -0.300 -0.751 -0.110 -0.358
-0.500 -0.300 -0.200 -0.792 -0.089 -0.331
-0.500 -0.300 -0.100 -0.829 -0.069 -0.294
-0.500 -0.300 0.000 -0.863 -0.051 -0.246
-0.500 -0.300 0.100 -0.892 -0.036 -0.187
-0.500 -0.300 0.200 -0.914 -0.025 -0.118
-0.500 -0.300 0.300 -0.929 -0.020 -0.039
-0.500 -0.300 0.400 -0.936 -0.021 0.048
-0.500 -0.300 0.500 -0.932 -0.031 0.143
-0.500 -0.200 -0.500 -0.655 -0.120 -0.366
-0.500 -0.200 -0.400 -0.695 -0.104 -0.357
-0.500 -0.200 -0.300 -0.735 -0.087 -0.339
-0.500 -0.200 -0.200 -0.772 -0.070 -0.313
-0.500 -0.200 -0.100 -0.807 -0.055 -0.277
-0.500 -0.200 0.000 -0.838 -0.041 -0.231
-0.500 -0.200 0.100 -0.865 -0.030 -0.176
-0.500 -0.200 0.200 -0.885 -0.023 -0.112
-0.500 -0.200 0.300 -0.899 -0.021 -0.039
-0.500 -0.200 0.400 -0.905 -0.025 0.042
-0.500 -0.200 0.500 -0.902 -0.036 0.129
-0.500 -0.100 -0.500 -0.644 -0.094 -0.352
-0.500 -0.100 -0.400 -0.682 -0.081 -0.342
-0.500 -0.100 -0.300 -0.718 -0.068 -0.324
-0.500 -0.100 -0.200 -0.753 -0.056 -0.298
-0.500 -0.100 -0.100 -0.786 -0.044 -0.264
-0.500 -0.100 0.000 -0.815 -0.034 -0.220
-0.500 -0.100 0.100 -0.839 -0.027 -0.169
-0.500 -0.100 0.200 -0.859 -0.023 -0.109
-0.500 -0.100 0.300 -0.872 -0.024 -0.041
-0.500 -0.100 0.400 -0.878 -0.030 0.033
-0.500 -0.100 0.500 -0.876 -0.043 0.113
-0.500 0.000 -0.500 -0.631 -0.072 -0.342
-0.500 0.000 -0.400 -0.667 -0.063 -0.331
-0.500 0.000 -0.300 -0.703 -0.054 -0.313
-0.500 0.000 -0.200 -0.736 -0.045 -0.288
-0.500 0.000 -0.100 -0.767 -0.036 -0.255
-0.500 0.000 0.000 -0.794 -0.030 -0.214
-0.500 0.000 0.100 -0.817 -0.026 -0.165
-0.500 0.000 0.200 -0.835 -0.026 -0.108
-0.500 0.000 0.300 -0.848 -0.029 -0.046
-0.500 0.000 0.400 -0.854 -0.037 0.023
-0.500 0.000 0.500 -0.854 -0.051 0.097
-0.500 0.100 -0.500 -0.620 -0.053 -0.334
-0.500 0.100 -0.400 -0.654 -0.047 -0.323
-0.500 0.100 -0.300 -0.688 -0.041 -0.306
-0.500 0.100 -0.200 -0.720 -0.036 -0.281
-0.500 0.100 -0.100 -0.750 -0.031 -0.249
-0.500 0.100 0.000 -0.776 -0.028 -0.210
-0.500 0.100 0.100 -0.798 -0.027 -0.164
-0.500 0.100 0.200 -0.816 -0.029 -0.111
-0.500 0.100 0.300 -0.829 -0.034 -0.052
-0.500 0.100 0.400 -0.836 -0.044 0.012
-0.500 0.100 0.500 -0.836 -0.059 0.080
-0.500 0.200 -0.500 -0.608 -0.037 -0.330
-0.500 0.200 -0.400 -0.642 -0.034 -0.319
-0.500 0.200 -0.300 -0.675 -0.031 -0.301
-0.500 0.200 -0.200 -0.706 -0.028 -0.277
-0.500 0.200 -0.100 -0.735 -0.027 -0.247
-0.500 0.200 0.000 -0.761 -0.026 -0.209
-0.500 0.200 0.100 -0.783 -0.028 -0.165
-0.500 0.200 0.200 -0.801 -0.033 -0.116
-0.500 0.200 0.300 -0.814 -0.040 -0.060
-0.500 0.200 0.400 -0.822 -0.051 -0.001
-0.500 0.200 0.500 -0.823 -0.066 0.063
-0.500 0.300 -0.500 -0.597 -0.022 -0.328
-0.500 0.300 -0.400 -0.630 -0.022 -0.317
-0.500 0.300 -0.300 -0.663 -0.021 -0.300
-0.500 0.300 -0.200 -0.694 -0.021 -0.276
-0.500 0.300 -0.100 -0.723 -0.023 -0.247
-0.500 0.300 0.000 -0.749 -0.025 -0.211
-0.500 0.300 0.100 -0.771 -0.029 -0.170
-0.500 0.300 0.200 -0.790 -0.035 -0.122
-0.500 0.300 0.300 -0.803 -0.044 -0.070
-0.500 0.300 0.400 -0.812 -0.056 -0.014
-0.500 0.300 0.500 -0.815 -0.071 0.046
-0.500 0.400 -0.500 -0.586 -0.008 -0.329
-0.500 0.400 -0.400 -0.620 -0.010 -0.318
-0.500 0.400 -0.300 -0.653 -0.012 -0.301
-0.500 0.400 -0.200 -0.684 -0.015 -0.278
-0.500 0.400 -0.100 -0.713 -0.018 -0.250
-0.500 0.400 0.000 -0.739 -0.023 -0.215
-0.500 0.400 0.100 -0.762 -0.029 -0.176
-0.500 0.400 0.200 -0.782 -0.037 -0.131
-0.500 0.400 0.300 -0.796 -0.047 -0.081
-0.500 0.400 0.400 -0.806 -0.060 -0.028
-0.500 0.400 0.500 -0.811 -0.075 0.029
-0.500 0.500 -0.500 -0.577 0.006 -0.332
-0.500 0.500 -0.400 -0.611 0.002 -0.321
-0.500 0.500 -0.300 -0.644 -0.002 -0.304
-0.500 0.500 -0.200 -0.676 -0.007 -0.282
-0.500 0.500 -0.100 -0.706 -0.012 -0.255
-0.500 0.500 0.000 -0.733 -0.019 -0.222
-0.500 0.500 0.100 -0.757 -0.027 -0.184
-0.500 0.500 0.200 -0.777 -0.036 -0.140
-0.500 0.500 0.300 -0.793 -0.047 -0.093
-0.500 0.500 0.400 -0.804 -0.060 -0.042
-0.500 0.500 0.500 -0.810 -0.076 0.012
-0.400 -0.500 -0.500 -0.724 -0.224 -0.483
-0.400 -0.500 -0.400 -0.782 -0.192 -0.479
-0.400 -0.500 -0.300 -0.840 -0.158 -0.462
-0.400 -0.500 -0.200 -0.896 -0.123 -0.433
