#Sample Density: 11 11 11; Volume: Box: 0.5 0.5 0.5
#Frame 0
#Center: 44.16349792480469 30.282499313354492 42.07699966430664
#Basis Matrix:
# 0.8515855073928833 -0.3791637122631073 -0.3619902729988098
# -0.5083217620849609 -0.4285236895084381 -0.746978223323822
# 0.12810559570789337 0.8201233744621277 -0.557661771774292
-0.500 -0.500 -0.500 -1.054 0.011 -0.533
-0.500 -0.500 -0.400 -1.077 0.048 -0.462
-0.500 -0.500 -0.300 -1.092 0.074 -0.387
-0.500 -0.500 -0.200 -1.100 0.090 -0.310
-0.500 -0.500 -0.100 -1.099 0.096 -0.232
-0.500 -0.500 0.000 -1.090 0.092 -0.156
-0.500 -0.500 0.100 -1.074 0.079 -0.082
-0.500 -0.500 0.200 -1.051 0.057 -0.013
-0.500 -0.500 0.300 -1.022 0.028 0.051
-0.500 -0.500 0.400 -0.988 -0.008 0.108
-0.500 -0.500 0.500 -0.949 -0.049 0.157
-0.500 -0.400 -0.500 -0.988 0.030 -0.494
-0.500 -0.400 -0.400 -1.010 0.063 -0.432
-0.500 -0.400 -0.300 -1.024 0.087 -0.367
-0.500 -0.400 -0.200 -1.031 0.102 -0.299
-0.500 -0.400 -0.100 -1.032 0.107 -0.231
-0.500 -0.400 0.000 -1.026 0.104 -0.164
-0.500 -0.400 0.100 -1.014 0.093 -0.098
-0.500 -0.400 0.200 -0.995 0.075 -0.037
-0.500 -0.400 0.300 -0.972 0.049 0.020
-0.500 -0.400 0.400 -0.943 0.018 0.072
-0.500 -0.400 0.500 -0.911 -0.018 0.117
-0.500 -0.300 -0.500 -0.926 0.046 -0.458
-0.500 -0.300 -0.400 -0.946 0.076 -0.405
-0.500 -0.300 -0.300 -0.959 0.097 -0.348
-0.500 -0.300 -0.200 -0.968 0.111 -0.289
-0.500 -0.300 -0.100 -0.970 0.117 -0.229
-0.500 -0.300 0.000 -0.966 0.115 -0.170
-0.500 -0.300 0.100 -0.956 0.106 -0.112
-0.500 -0.300 0.200 -0.941 0.089 -0.057
-0.500 -0.300 0.300 -0.922 0.067 -0.006
-0.500 -0.300 0.400 -0.898 0.040 0.040
-0.500 -0.300 0.500 -0.872 0.009 0.081
-0.500 -0.200 -0.500 -0.867 0.060 -0.426
-0.500 -0.200 -0.400 -0.885 0.087 -0.380
-0.500 -0.200 -0.300 -0.899 0.106 -0.331
-0.500 -0.200 -0.200 -0.907 0.119 -0.280
-0.500 -0.200 -0.100 -0.910 0.125 -0.227
-0.500 -0.200 0.000 -0.908 0.124 -0.175
-0.500 -0.200 0.100 -0.901 0.116 -0.124
-0.500 -0.200 0.200 -0.890 0.102 -0.075
-0.500 -0.200 0.300 -0.875 0.083 -0.029
-0.500 -0.200 0.400 -0.855 0.060 0.013
-0.500 -0.200 0.500 -0.833 0.032 0.050
-0.500 -0.100 -0.500 -0.811 0.073 -0.398
-0.500 -0.100 -0.400 -0.828 0.096 -0.358
-0.500 -0.100 -0.300 -0.841 0.114 -0.316
-0.500 -0.100 -0.200 -0.850 0.126 -0.271
-0.500 -0.100 -0.100 -0.854 0.132 -0.225
-0.500 -0.100 0.000 -0.854 0.131 -0.179
